algorithm,profile,lags,horizon,model_variant,avg_inference_time_ms,avg_total_time_ms,avg_cpu_percent,avg_ram_percent,model_size_mb,run_id
cnn1d,edge,4,1,model_quant_float16.tflite,0.3806116784779038,42.7968364586737,24.982989526147048,61.37735849056603,0.0908,2025-08-26_012507_2185_train
cnn1d,edge,4,4,model_quant_float16.tflite,0.347104689213752,42.535839198192285,24.144073877390646,62.405660377358494,0.0918,2025-08-26_012653_3728_train
cnn1d,edge,4,7,model_quant_float16.tflite,0.3195455199321904,42.54451179701197,24.57060657368739,59.84528301886794,0.0927,2025-08-26_012852_6345_train
cnn1d,edge,4,10,model_quant_float16.tflite,0.3293019791061558,43.44201355926548,24.737020323556408,62.6547169811321,0.0936,2025-08-26_013049_5283_train
cnn1d,edge,4,13,model_quant_float16.tflite,0.36756642825466335,42.16136600172039,24.805440647139363,65.90943396226413,0.0945,2025-08-26_013237_1481_train
cnn1d,edge,4,16,model_quant_float16.tflite,0.39349548303732496,42.34898881108128,24.69671446558639,57.26981132075471,0.0955,2025-08-26_013436_6368_train
cnn1d,edge,7,1,model_quant_float16.tflite,0.4321383008651892,51.384271122515166,25.260485333185553,70.74255319148939,0.1054,2025-08-26_013633_6490_train
cnn1d,edge,7,4,model_quant_float16.tflite,0.34929506237734564,51.680680820123904,24.862939155340985,57.45531914893617,0.1063,2025-08-26_013838_8242_train
cnn1d,edge,7,7,model_quant_float16.tflite,0.39299104220998465,52.25243396621115,24.693119502103603,60.22553191489364,0.1072,2025-08-26_014035_6792_train
cnn1d,edge,7,10,model_quant_float16.tflite,0.3841810495308696,50.44384609333216,24.80936737462355,62.2489361702128,0.1082,2025-08-26_014243_9825_train
cnn1d,edge,7,13,model_quant_float16.tflite,0.35170528976971305,50.993639559663315,24.52199614523555,63.27021276595748,0.1091,2025-08-26_014444_7486_train
cnn1d,edge,7,16,model_quant_float16.tflite,0.39640533150695206,51.583693565880004,24.357968263852438,59.07021276595747,0.11,2025-08-26_014638_5559_train
cnn1d,edge,10,1,model_quant_float16.tflite,0.386679649818635,61.736129979580234,25.127005323847992,62.458536585365856,0.12,2025-08-26_014842_4631_train
cnn1d,edge,10,4,model_quant_float16.tflite,0.35224721068511755,60.65708557257379,25.166703994851616,59.048780487804876,0.1209,2025-08-26_015044_1804_train
cnn1d,edge,10,7,model_quant_float16.tflite,0.41661750874477255,59.41728295803791,24.99928186666151,61.62682926829268,0.1218,2025-08-26_015312_2401_train
cnn1d,edge,10,10,model_quant_float16.tflite,0.34225109848188007,60.621730949184474,24.711821391754807,61.26829268292683,0.1227,2025-08-26_015518_4444_train
cnn1d,edge,10,13,model_quant_float16.tflite,0.3903315053320975,60.94924935775736,24.508480988187625,60.90487804878049,0.1237,2025-08-26_015715_7234_train
cnn1d,edge,10,16,model_quant_float16.tflite,0.36941597354592753,60.46073183576322,24.747836813387792,63.08780487804878,0.1246,2025-08-26_015924_8517_train
cnn1d,edge,13,1,model_quant_float16.tflite,0.495116062024003,69.25864368677134,24.780917478189338,64.30000000000001,0.1345,2025-08-26_020128_9024_train
cnn1d,edge,13,4,model_quant_float16.tflite,0.3995287081445382,69.61285346187647,24.657127910683993,58.18571428571429,0.1354,2025-08-26_020340_6908_train
cnn1d,edge,13,7,model_quant_float16.tflite,0.3766002722412677,69.77155087515708,24.698525324712648,63.9,0.1364,2025-08-26_020552_5860_train
cnn1d,edge,13,10,model_quant_float16.tflite,0.3726666875402206,69.47239857566139,25.35200391413401,60.99714285714286,0.1373,2025-08-26_020804_9710_train
cnn1d,edge,13,13,model_quant_float16.tflite,0.38098091232200887,68.57046441707222,24.642792330158102,61.6,0.1382,2025-08-26_021017_1897_train
cnn1d,edge,13,16,model_quant_float16.tflite,0.4386306630775618,70.00546179977906,24.36092028201688,55.720000000000006,0.1391,2025-08-26_021236_2036_train
cnn1d,edge,16,1,model_quant_float16.tflite,0.35566181343576436,80.22199778271644,25.30215025857539,63.70689655172416,0.1491,2025-08-26_021452_3104_train
cnn1d,edge,16,4,model_quant_float16.tflite,0.36235697500935,77.89975331678727,23.93313815993587,59.40000000000001,0.15,2025-08-26_021703_4935_train
cnn1d,edge,16,7,model_quant_float16.tflite,0.3945491625926893,79.36758214832632,25.14430702031242,61.5,0.1509,2025-08-26_021909_4617_train
cnn1d,edge,16,10,model_quant_float16.tflite,0.37417362909758206,79.60706974122799,25.572512763482845,57.341379310344834,0.1518,2025-08-26_022139_9932_train
cnn1d,edge,16,13,model_quant_float16.tflite,0.3969599077078464,80.2998859355033,24.219774276200827,64.90344827586208,0.1528,2025-08-26_022358_9982_train
cnn1d,edge,16,16,model_quant_float16.tflite,0.41657513273609637,80.69011841194124,24.72855495185563,57.41034482758623,0.1537,2025-08-26_022622_1330_train
random_forest,edge,1,1,model.joblib,34.128531299788335,65.3357161130061,26.262944392654617,70.98474576271187,0.2713,2025-08-26_022906_9637_train
random_forest,edge,1,4,model.joblib,139.982011891773,171.91448119090143,27.955854034265496,56.41525423728814,1.0917,2025-08-26_023027_7608_train
random_forest,edge,1,7,model.joblib,239.24413595171967,270.39297693409026,28.021298454250896,48.19999999999999,1.8944,2025-08-26_023204_9367_train
random_forest,edge,1,10,model.joblib,344.0190640334361,375.66900692911724,28.33212923500199,70.36610169491526,2.677,2025-08-26_023341_5014_train
random_forest,edge,1,13,model.joblib,447.68693569469553,478.9741790490383,28.54354342169736,70.80000000000001,3.5018,2025-08-26_023536_4828_train
